Original Cell types,Marker Genes,Somamers
Adipocytes,"TNMD, SEMA3G, SLC9A3R2, NRP1, MEOX2, KIF25, TCF15, F2RL3, CD36, PML, ADAMTS18, TIMP4, CD300LG, RBP7, INHBB, BTNL9, CD320, ATOH8, FABP4, OR10V1, FAM241A, APOLD1, CLDN5, NOTCH4, SPAAR, C1QTNF9, SHANK3, GPIHBP1","TNMD.6578.29, SEMA3G.5628.21, NRP1.5542.22, MEOX2.23039.56, CD36.2973.15, PML.25270.3, TIMP4.6462.12, CD300LG.20585.9, RBP7.14208.3, INHBB.16746.12, BTNL9.7950.142, CD320.16320.139, FABP4.9851.9, FAM241A.9490.3, C1QTNF9.6019.12, SHANK3.13242.134"
Alveolar cells type 1,"ITGA3, GPRC5A, CEACAM6, UNC13D, CAV2, DVL1, SPOCK2, CDR2L, PLXNA1, MATN3, POGK, WNT3A, ALPP, MS4A15, BCL9L, AGER, EMP2, GGTLC3","UNC13D.24942.22, CAV2.9457.3, SPOCK2.5491.12, PLXNA1.9005.16, MATN3.3208.2, WNT3A.13236.25, ALPP.7813.6, AGER.4125.52"
Alveolar cells type 2,"CACNA2D2, ROS1, LAMP3, PXMP4, CTSH, ICAM4, SLC46A2, SFTPA1, NAPSA, SFTPD, MBIP, C16orf89, SLC34A2, ALPL, ABCA3, SFTPC, WFDC12, SFTPB, DEFB4B, ALOX15B, AGTR2, SFTPA2, LRRK2, SLC22A31, ENSG00000282218, ENSG00000286135","ROS1.9032.30, CTSH.8644.46, ICAM4.9461.2, SFTPD.4414.69, ALPL.16926.44, SFTPB.10672.75, ALOX15B.12422.143, LRRK2.10990.21"
Astrocytes,"PHF21B, BORCS8-MEF2B, CTNNA2, PHKA1, FGFR3, EVC, ANO8, SLC1A3, CARMIL1, SLC4A4, COL5A3, TRPM3, PRODH, MLC1, PAPLN, ACSBG1, EYA1, TRPS1, RASA4, GLI3, GLIS3, LGI1, KAT2A, SLC1A2, ACSS3, RFX4, PARD3B, DOCK7, TAS2R7, PLCG1, ATP13A4, MACF1, NCAN, PNPLA7, SLC7A10, GFAP, SLC6A11, IQCA1, MEIS2, RERG, DTNA, APC, NHSL1, ARHGEF4, MMD2, BMPR1B, SLCO1C1, NPFF, STON2, SLC14A1, PRDM16, ITPKB, SFXN5, GASK1A, LRIG1, PSD2, RGS20, SLC39A12, CAMK2G, PAMR1, GPM6A, SLC7A11, GABRA2, ADGRA3, KCTD15, PITPNC1, TNIK, GRAMD2B, GNA14, GAREM2, CACHD1, GRIN2C, SLC9C2, ACP6, GABRG1, ETNPPL, RANBP3L, ADGRV1, PLEKHA7, ANKDD1A, NTSR2, DCLK2, BCL2, KNDC1, FUT9, HPSE2, ZHX3, ACBD7, GPC5, RNF182, OR6T1, FAM181B, HHIPL1, B4GALNT4, SLC25A18, ZNRF3, POU3F2, TPCN1, DCHS2, OR6C74, RYR3, GABBR1, PIRT, MEIKIN, REELD1, TRIL, OR9A4, SPON1, NBPF19, GRIFIN, PRICKLE4, NOTCH2NLB","CTNNA2.9872.23, PHKA1.25088.42, FGFR3.3809.1, PAPLN.11254.13, KAT2A.19797.4, ACSS3.23692.19, PLCG1.4563.61, NCAN.15573.110, GFAP.3034.1, MEIS2.23568.41, RERG.17822.57, DTNA.25087.11, BMPR1B.10550.37, NPFF.5617.41, SLC14A1.13430.50, SFXN5.13729.26, LRIG1.18831.6, PSD2.9118.7, KCTD15.23263.9, GRAMD2B.25086.83, ACP6.5742.14, PLEKHA7.12731.12, BCL2.3412.7, FUT9.6991.24, ZHX3.10036.201, ACBD7.13563.259, GPC5.4991.12, SLC25A18.5280.68, ZNRF3.14122.132, GABBR1.11279.42, TRIL.6527.1, SPON1.5496.49"
B-cells,"CD79B, P2RX5, CD37, FCER2, CR2, LY9, NPBWR2, CD70, VPREB3, FCRLA, BLK, CD72, BANK1, MS4A1, TNFRSF13C, CXCR5, MATN1, FCMR, FCRL4, FCRL1, SERPINA9, PARP15, TLR10, CD19, BTLA, LCN10, CNR2, PAX5, ZNF860, RCSD1, OR2T5, LCN8, LTB, GH1, ENSG00000279073","CD79B.6351.55, CD37.18202.22, FCER2.3291.30, CR2.15570.99, LY9.3324.51, CD70.8762.38, FCRLA.24975.3, BLK.11338.49, CD72.7009.8, TNFRSF13C.5383.14, FCMR.6574.11, FCRL4.8991.115, FCRL1.5728.60, SERPINA9.7266.4, TLR10.20563.48, BTLA.16308.14, LCN10.13007.66, RCSD1.23620.16, LCN8.5643.2, GH1.8462.18"
Basal keratinocytes,"COL17A1, IFNK, OR2AP1, KRT14, SERPINB2, KRTAP9-4","KRT14.22482.87, SERPINB2.21676.17"
Basal respiratory cells,"SLC38A5, PTHLH, CCL20, PI3, KRT17, IL36G, MMP13, LOXL4, SERPINB7, MMP10, ANGPTL4, DEFB4A, MRGPRX4, MRGPRX3, NMB, SERPINB4, SAA2-SAA4","PTHLH.2962.50, CCL20.2468.62, PI3.4982.54, KRT17.12923.51, IL36G.9117.4, MMP13.4925.54, MMP10.8479.4, ANGPTL4.3796.79, DEFB4A.13397.88, NMB.9321.400, SERPINB4.15444.45"
Basal squamous epithelial cells,"GPR50, HOXA2, HOXA5, TP53AIP1, TSLP, NPPC, KRT15, OR13D1, FOXD4L4, H3C14, OR2AE1, CDK3, ENSG00000254706, ENSG00000254979, ENSG00000256500, ENSG00000260170, ENSG00000267179, ENSG00000268083, ENSG00000280778, ENSG00000285085","HOXA5.22376.95, TSLP.3010.53, NPPC.20430.8"
Bipolar cells,"CACNA1G, CAMK2B, ASIC4, TAB1, VSX1, NTSR1, LHX3, GABRR2, GRM6, CRHR1, TAF1L, NEUROD4, KIRREL2, GNG13, LRFN1, CLN6, AANAT, KCNA5, EFR3A, TRPM1, SHF, SLC24A4, LRTM1, GABRR1, PRDM8, PLXDC1, MSLNL, SLC1A7, OR2M5, RCOR2, CABP2, KCNG4, HR, MFSD4A, OR52E2, OR2T33, SLC25A22, OR56B4, OR13F1, BSPH1, NYX, PRRT1, PCDHA8, KRTAP5-1, CEACAM16, LACTBL1, LINGO3, OR6X1, TRNP1, ENSG00000258465, ENSG00000269533, OR52E1, GPR179, OR2L8","CAMK2B.3351.1, ASIC4.6951.26, VSX1.24456.3, KIRREL2.7958.15, LRFN1.7910.41, LRTM1.9368.64, PLXDC1.9235.3, CABP2.24690.1, KCNG4.13525.17, CEACAM16.24299.1, LINGO3.10827.67"
Breast glandular cells,"BTN1A1, OTOR, CSN1S1, CSN2, ANKRD30A, CXCL13, XDH, IL22RA2, LALBA, CSN3, CST9, CIDEA, C6orf15, SPINK8, FAM240A","BTN1A1.21674.132, OTOR.15432.1, CSN2.16587.1, CXCL13.3487.32, XDH.11264.33, IL22RA2.9456.34, SPINK8.7962.11"
Cardiomyocytes,"NDUFAB1, MDH1, NDUFS1, MIPEP, MYOM2, MAP4, USP28, USP13, CS, BTBD1, POU1F1, IARS2, PTPN3, TIMM21, NMRK2, TOP2B, ACTN2, NEBL, DDX1, NFE2L1, MTIF2, TBX5, ZNF302, MAP3K20, SMPX, MYH7, MYOM1, MYL12A, HTATSF1, SGCG, ZNF629, ZNF106, MYL7, ACBD5, MYL2, GLP1R, HSPA9, SMYD1, TRAK2, MFN2, UCHL5, TNNT2, GHRH, CASQ2, CCND2, DNMT3A, KCNIP2, GOT1, TARDBP, POPDC2, GJA3, FABP3, LDB3, RAB9B, KLHL31, GOT2, CSRP3, KIF1C, TNNI3, PRRG3, NALF2, HRC, ATP5IF1, CKMT2, COQ3, NES, SLC41A1, MYBPC3, COQ10A, TAAR5, NIBAN1, GCOM1, HADHB, TPM1, MYLK3, GOLGA4, CORIN, PAM, NIPSNAP2, ITGB1BP2, ANKRD1, SLC25A4, ATP5F1A, GPD1L, ATP5PF, TTN, UQCRB, COX6A2, MRAS, ACTC1, MYL3, COX7A1, PRKAA2, NEXN, XIRP2, PDLIM5, CCDC141, PPM1K, SLMAP, FBXO40, CMYA5, CFL2, SYNPO2L, RBPMS2, GREM1, OR8J3, ATP5PD, PDHB, ATP5ME, TMEM182, OR10A3, LMOD2, PKIA, ETFDH, SYNPO, MYOZ2, PDE3A, HSPB7, ATP5MK, SLC25A30, ATP2A2, NPPA, OR10P1, PTPN11, SLC2A4, SYNM, NKX2-5, DHRS7C, C14orf180, NDUFA12, NDUFA6, SRL, FSD2, SBK2, FITM2, OR6Y1, MYH6, MYL4, PLN, RYR2, MT-ND6, MT-CO2, MT-ND5, ALPK2, LRRC10, OPA1, STYXL2, NTMT2, OR6K3, RBM20, OR6C68, TECRL, RAB12, MT-ND4L, LINGO4, SMCO1, MYBPHL, MT-ATP8, UQCRHL, TAAR9, MRPL33, ENSG00000254692, ENSG00000262660, MYZAP, PTGES3L, ENSG00000270299, SNURF","MDH1.3853.56, MYOM2.13534.20, USP28.19562.8, CS.18309.18, TIMM21.9058.1, NMRK2.20998.19, ACTN2.9844.138, DDX1.25092.32, NFE2L1.11154.3, TBX5.11202.70, MYL12A.19373.3, MYL7.19296.51, GLP1R.20581.42, HSPA9.13492.44, UCHL5.17405.2, TNNT2.5315.22, GHRH.9487.60, CASQ2.19291.2, GOT1.4912.17, TARDBP.12046.51, FABP3.5437.63, GOT2.23903.3, CSRP3.9171.11, KIF1C.9899.28, TNNI3.5930.54, HRC.6584.1, ATP5IF1.19755.38, CKMT2.18197.97, MYBPC3.21579.35, COQ10A.21457.141, TPM1.5033.27, PAM.5620.13, ITGB1BP2.21985.61, ANKRD1.15361.37, GPD1L.12420.10, ATP5PF.7788.1, TTN.11352.42, UQCRB.12957.62, COX6A2.10535.25, MRAS.18297.8, MYL3.18376.19, COX7A1.8390.25, PDLIM5.23703.8, SLMAP.7191.32, CFL2.15339.32, RBPMS2.23300.3, GREM1.18878.15, PDHB.22526.81, PDE3A.5254.69, NPPA.5443.62, PTPN11.3397.7, SRL.10940.25, MYL4.20107.11, SMCO1.22779.75, MRPL33.13453.2, MYZAP.9964.10"
Cholangiocytes,"CASR, MUC5B, UGT2B28, CHST4, FGFR4, CYP3A7, FGF19, OR51I1, TM4SF4, OR10K1, ENSG00000173867, ALKAL1, CYP3A7-CYP3A51P, ENSG00000283886","CHST4.18876.77, FGFR4.4988.49, FGF19.2762.30"
Ciliated cells,"WDR54, ALDH3B1, DLEC1, LRRC23, DNAH5, TP73, RABL2B, RAB36, IFT27, SPEF1, ODAD1, CAPS, RSPH4A, GRIN3B, CCDC170, C20orf85, FOXJ1, PLPPR3, FBXW9, STOML3, DYDC2, LCA5, AK7, CCDC40, CFAP74, RABL2A, CETN2, C2orf50, CAPSL, DYNLT5, CIBAR2, CFAP70, HYDIN, CFAP251, DZIP1L, CATIP, CCDC17, RSPH1, CFAP157, CCDC78, CDS1, C7orf57, CFAP52, C22orf15, OR1M1, DNAI2, FAM174A, CHRNA9, DNAH12, CD164L2, C11orf16, CTXN1, FAM216B, MAPK15, HOATZ, C1QTNF8, CCDC190, TMEM212, CFAP73, FAM183A, CDHR4, PLEKHG7, LRRC74B, DYNLT4, SNTN, ANKDD1B, KIF19, NEK5, KCNRG, ECT2L, LDLRAD1, LRRC10B, TMEM231, PSENEN, ANKUB1, FAM166B, DCDC2B, PRR29, CROCC2, ANKRD66, STMND1, CCDC153, GAS2L2, CFAP97D2","ALDH3B1.12940.35, SPEF1.12876.39, CAPS.21143.10, CETN2.13078.3, CAPSL.13688.2, CATIP.25242.12, C22orf15.7073.69, FAM174A.6597.24, CD164L2.6915.2, SNTN.21009.28, KCNRG.23336.2, PSENEN.23624.34"
Club cells,"UPK1A, UPK2, SCGB1A1, SCGB3A1, CYP2A13, LY6L",SCGB3A1.6252.62
Collecting duct cells,"SLC6A12, NPHS2, SSC4D, FXYD4, KCNJ16, CLDN8, WNT9B, PTGER1, CDH16, AQP2, SOST, DEFB132, HMX2, POU3F4, ZNF772","SOST.5729.27, DEFB132.9022.49, HMX2.22469.103"
Cone photoreceptor cells,"PLEKHB1, AQR, CC2D2A, KIF2A, GPATCH1, CHRNA3, PDE6C, MCF2, OPN1LW, RS1, CALB1, P3H3, GNB3, GUCA1B, GRK7, CEP104, ARR3, OPN1SW, RTBDN, REEP2, GNAT2, MAPKBP1, GUCA1C, PDE6H, RXRG, GUK1, CNGA3, RABL3, GABRA6, RAB41, PSKH2, WDR31, GJD2, ISL2, ANKRD33B, CPLX4, GNGT2, KCNV2, FOXD4, CNGB3, OR10A2, NPTX1, MAP6, CLSTN1, NXNL1, GPR151, MTX3, OR2AJ1, H2AC25, TAFA3, OR6A2, MESP2, OR2L3, RD3, NME1, OPN1MW, OR2AG1, ENSG00000283536, ENSG00000288593","PLEKHB1.24695.8, RS1.6497.10, CALB1.9918.23, GUCA1B.22401.26, REEP2.23305.38, PDE6H.20393.10, GUK1.17325.10, RABL3.23312.16, GJD2.11678.105, GNGT2.10917.40, NPTX1.9256.78, CLSTN1.15521.4, TAFA3.7839.99, NME1.5909.51"
Distal enterocytes,"CEACAM7, MS4A12, SIRT6, CEACAM1, FXYD3, SLC26A3, AQP8, ETHE1, SIAE, CLCN2, TSPAN1, PIGZ, TMEM54, GIPC1, TRPM4, SQOR, GCNT3, SELENBP1, DENND2A, MIER3, SLC26A2, B3GNT7, PLCD3, PIGR, ALPG, SCNN1B, LETM1, HSD11B2, ZNF575, KRTAP13-2, TCHHL1, OR6C76, NOXO1, CD177, MUC12, DDAH2, TAF11L12, ENSG00000257184","CEACAM7.7184.13, SIRT6.21833.6, ETHE1.3847.56, SIAE.9263.57, GIPC1.22970.8, SELENBP1.25076.2, PLCD3.25949.3, PIGR.3216.2, ALPG.6715.63, CD177.13116.25"
Distal tubular cells,"PTGER3, SLC12A1, FOLR3, CLDN16, GRB14, ATP6V1B1, WNK4, GNG5B, CRIP3, ATP6V0D2, ATP6V1G3, KCNJ1, DEFB1, TMEM52B, FRMD7, DMRT2, SRARP, HELT, TMEM207, CLEC6A, TMEM213, FRG2B, TDGF1, FXYD6-FXYD2, URGCP-MRPS24","FOLR3.5624.66, GRB14.13628.58, DEFB1.6629.3, TMEM52B.9778.45, CLEC6A.6911.103, TDGF1.5810.25"
Ductal cells,"CFTR, RTP4, SLC39A1, NEURL3, KRTAP1-1","CFTR.7717.95, RTP4.18315.38"
Endothelial cells,"SELE, OIT3, ESM1, LCN6, CCL23, CCL14","SELE.3470.1, OIT3.6296.36, ESM1.3805.16, CCL23.3028.36, CCL14.2900.53"
Enteroendocrine cells,"SYT13, SLC18A1, SCT, CYP2W1, SCGN, MLN, CHGA, PCSK1N, NEUROG3, TPH1, PYY, NTS, SST, GIP, LRRC53, NEUROD1, FEV, CRYBA2, SLC38A11, HOXD12, INSL5, RXFP4, INSM1, PCSK1, LCN15, UCN3, RPRML, RFX6, AVPR1B, KRTAP3-3, LY6G6F-LY6G6D, GPR142","SYT13.21132.9, SCT.3728.52, SCGN.15305.7, MLN.5631.83, CHGA.8476.11, PCSK1N.9391.60, NEUROG3.25938.13, TPH1.21521.17, PYY.3727.35, NTS.7857.22, SST.5957.30, GIP.5755.29, FEV.12740.55, CRYBA2.23354.12, INSL5.10462.14, PCSK1.13388.57, UCN3.10756.34, GPR142.12766.33"
Erythroid cells,"SLC4A1, MPO, TSPAN17, FECH, CPOX, ORC1, HBQ1, BLVRB, GATA1, CLC, KLF1, MINPP1, RFC5, RHAG, TSPO2, MYB, NFE2, UROD, E2F8, CA1, CMPK2, ABCB10, GYPC, NUSAP1, DNA2, LBR, MS4A3, ALAS2, ANKLE1, SPC24, CCNF, TAL1, TRIM58, SPTA1, PCLAF, EPB42, DHRS13, PRDX2, FAM178B, AHSP, GYPA, CYTL1, SLC25A21, BOLA2, TANGO2, FOXD4L1, PRSS57, RHD, EPOR, C17orf99, HBA2, RHCE, UROS, PRTN3, GYPE, CR1L, KEL, TFDP1, OR10Z1, IFIT1B, OR13C3, TRIM10, EIF3CL, MFSD2B, HBA1, HBM, TRAV10, HBD, DYTN, SLFN14, HBB, ENSG00000248751, GYPB, TAS2R43, HMBS, ENSG00000259371, ENSG00000284931, OOSP4A, ASDURF, ENSG00000288053, ENSG00000288635","MPO.2580.83, CPOX.18241.18, HBQ1.7965.25, BLVRB.17148.7, CLC.11094.104, MINPP1.5586.66, MYB.11618.83, UROD.19289.29, CA1.4969.2, PCLAF.19158.1, AHSP.9025.5, CYTL1.8402.22, BOLA2.8404.102, PRSS57.8351.17, EPOR.2715.25, UROS.11248.43, PRTN3.3514.49, KEL.7070.25, HBD.6992.67, DYTN.22124.94, HBB.17137.160, HMBS.11530.37"
Excitatory neurons,"SLC6A7, BMAL2, CELF2, R3HDM1, FSTL4, CAMK2A, CADPS2, KCNH4, HTR2A, KCNN1, PDE4C, SH3GL2, ASIC2, FBXW7, CUX2, PHACTR1, PDE4D, UNC5A, EPHA4, SLC8A2, OLFM3, SATB2, HS3ST2, CHN1, ANO3, TMEM241, KCTD1, KCNH3, FGF5, PPP3CA, PRICKLE1, KCNH5, CBLN2, KCNH1, STXBP5L, ADAMTS16, CDH22, CNKSR2, MKX, MCHR2, HOMER1, NRGN, NRG1, CLSTN2, KALRN, COL26A1, GRM2, NDST3, NEUROD6, BMPER, KCNV1, OR1Q1, GABRB3, PRKCB, LDB2, COL24A1, GAP43, NWD2, GLIS1, CREG2, TCERG1L, OR2T8, ADAMTSL1, HTR1F, C3orf80, OR52N4, C4orf50, ZNF804B, KCNK4, FREM3, SLC35F3, EFNA5, NELL2, RALYL, SV2B, KCNQ5, CALHM1, MRTFB, OR9Q1, SLIT1, OR14I1, CPNE4, CRACDL, OR1J2, BTNL2, FXYD7, ANKRD63","CELF2.7245.2, FSTL4.9350.3, CAMK2A.3350.53, CADPS2.25099.4, HTR2A.13556.28, KCNN1.13539.131, PDE4C.20221.26, SH3GL2.20139.57, PDE4D.5255.22, UNC5A.7975.97, EPHA4.7190.50, OLFM3.11143.32, SATB2.10081.17, CHN1.22430.15, KCTD1.23308.31, FGF5.3065.65, CBLN2.21887.2, MKX.22503.24, HOMER1.22980.37, NRGN.18303.39, NRG1.9178.30, CLSTN2.18882.7, BMPER.3654.27, PRKCB.5475.10, LDB2.22491.10, GAP43.15325.14, ADAMTSL1.6575.79, EFNA5.2615.60, NELL2.6022.57, RALYL.22545.20, SLIT1.15634.139"
Exocrine glandular cells,"CPA1, OLFM4, REG1A, FBXO2, CPA4, CLPS, CUZD1, CELA1, CTRL, CELA2A, CELA3A, REG3G, CPB1, CPA2, CTRC, SPINK1, HTR3A, CTRB1, CTRB2, PLA2G1B, REG3A, REG1B, PNLIP, SYCN, PDIA2, PNLIPRP1, CLPSL1, PRSS1, CELA2B, CELA3B, PGA4, AMY2A, PGA5, PRSS2","CPA1.23981.172, OLFM4.4769.10, REG1A.13095.51, CPA4.9267.2, CLPS.5749.53, CUZD1.7943.16, CELA1.6107.3, CTRL.9229.9, CELA2A.7140.1, REG3G.9352.86, CPB1.6356.3, CPA2.9276.7, CTRC.5626.20, SPINK1.8243.55, CTRB1.5671.1, CTRB2.5648.28, PLA2G1B.4910.21, REG3A.9277.16, REG1B.5693.6, PNLIP.15613.16, PNLIPRP1.6627.25, CLPSL1.9526.3, PRSS1.3049.61, CELA3B.6357.83, PGA4.22572.19, AMY2A.18917.53, PRSS2.5034.79"
Fibroblasts,"MYOC, LHX5, SRPX, CCN4, ANGPTL2, MMP27, KERA, FGF7, COL6A2, CTSK, SFRP2, GPC3, GSN, FCN2, COL6A3, FNDC1, CTHRC1, VEGFD, CLEC1B, MFAP4, HTRA3, CCL11, KRTAP13-4, APOD, FGF16, FAM180B, MAP1LC3C, COL6A6","MYOC.16558.2, CCN4.3057.55, KERA.10758.2, FGF7.4487.1, COL6A2.16753.46, CTSK.9443.137, SFRP2.7751.121, GPC3.4842.62, GSN.4775.34, FCN2.3313.21, COL6A3.11196.31, CTHRC1.6236.51, VEGFD.14705.1, CLEC1B.4332.6, MFAP4.5636.10, CCL11.5301.7, APOD.8262.20, FGF16.4393.3"
Gastric mucus-secreting cells,"OSBPL7, SRCAP, SLC9A1, PGC, VSIG1, MLNR, SLC5A5, ATP4A, ANXA10, A4GNT, SRMS, CBLIF, DDX60, TAAR1, GPR119, GHRL, KCNE2, TFF2, TFF1, CCKAR, MST1R, RASEF, OR2D2, PSCA, MUCL3, RASSF6, GKN1, LGALS9C, ACER2, PSAPL1, RFLNA, SLC9A4, LIPF, H3C13, GKN2, C6orf58, ATP4B, MAGED4B, DAZ1, IL17REL, H3C12, SULT1C2, CAPN8, NPY4R, DAZ4, DAZ2, MUC5AC, PGA3, KRTAP10-11, OMP, GALNT4, ENSG00000258472, ENSG00000259171, NPY4R2, H3-7, H4C13, H3C11, H3C1, H2BC3, H4C4, H4C1, H2AC17, H4C2, PERCC1, SMIM38, ENSG00000285188","VSIG1.8367.142, SLC5A5.12826.5, ANXA10.13605.16, A4GNT.10835.25, CBLIF.17672.184, GHRL.8447.11, TFF2.9191.8, TFF1.9185.15, MST1R.2640.3, GKN1.15374.15, PSAPL1.8814.33, GKN2.6416.8, ATP4B.9994.217, SULT1C2.17811.78, OMP.18240.6, GALNT4.21722.21, H3C1.14146.92"
Glandular and luminal cells,"TMEM101, GABRP, APOL1, PAEP, SCGB1D2, SCGB2A1, PAPSS1, SLC26A7, RCAN1, MSX1, ARL5B, RIMKLB, MMP26, CDKN2AIP, LRATD2, STX18, OR5AU1, KRTAP4-4, HAP1, CLDN22, OLIG3, RIPK4, IDO2, TLE1, KRTAP4-6, C2CD4A, POU5F1, KRTAP4-8, KRTAP4-9, POU5F1B, KRTAP4-7, PABPC4L, DDX52","APOL1.9506.10, PAEP.8867.18, SCGB1D2.6508.68, SCGB2A1.9086.95, PAPSS1.14007.22, SLC26A7.13979.3, RCAN1.13465.5, ARL5B.17404.5, LRATD2.21141.9, STX18.9037.1"
